Year;Url;License;Languages;Disks;Players;Name;Publisher;Developer;Hardware;Genre
1994;http://hol.abime.net/5890;;English;1;1;Alchemy;Psygnosis ;;ECS/OCS;Platform, Scrolling - Multi Directional
1990;http://hol.abime.net/5270;Game & Mini Mag;Danish;1;1 or 2;Labyrinth;Det Nye COMputer - Denmark;Interactivision;ECS/OCS;Quiz
1996;http://hol.abime.net/5574;Shareware;English, French;1;1;Deconstruction;;Brain.Lego;AGA;Reaction & Navigation
1995;;;English;1;1 or 2, Simultaneous;Cyber Games;;Cyberpunk Developments;ECS/OCS;Arcade - Miscellaneous
1988;http://hol.abime.net/2842;Commercial;English;1;1 or 2, Simultaneous;Emerald Mine II;KingSoft;;ECS/OCS;Arcade - Boulder Dash
1991;http://hol.abime.net/4176;Commercial;English;1;1;Enforcer, The;Trojan;;ECS/OCS;Shooter - Operation Wolf
1993;http://www.tilemap.co.uk/fm1.html;Shareware;English;1;1;Fatal Mission;;Robin Burrows;ECS/OCS;Shooter - Shoot 'Em Up
1991;http://hol.abime.net/5868;Commercial;English;2;1;Legacy;;Hexodus;ECS/OCS;Shooter - Walkabout
1998;;;English;1;1;Nuxelia;Craze & Pelegolas;;AGA;Platform, Scrolling
1993;http://hol.abime.net/5904;Shareware;English;1;1 or 2;Oblivion;;;ECS/OCS;Shooter - Flyabout and Collect
1988;http://hol.abime.net/4830;Commercial;English;1;1 or 2, Simultaneous;Pipeline;;;ECS/OCS;Puzzler
1992;http://hol.abime.net/3901;Commercial;English;1;1;Psycho Killer;On-line;Delta 4 Interactive (D4i);CDTV;Adventure - Animated
1989;;Commercial;English;1;1;Roboter;Werner;;;Shooter
1986;http://hol.abime.net/1272;Commercial;English;1;1;Rogue: The Adventure Game;Epyx;AI Design;ECS/OCS;RPG
1988;http://hol.abime.net/1925;;English;1;1;Silicon Dreams;Rainbird;Level 9;ECS/OCS;Adventure - Text With Still Pics
1996;;Commercial;English;1;1;Starbirds;HAAGE & PARTNER;Sam Jordan & Dario Hardmeier;;Shooter - Flyabout and Collect
1991;http://hol.abime.net/6012;Coverdisk;English;1;1;Xmas Lemmings 1991;Psygnosis ;DMA;ECS/OCS;Puzzler - Rescue Across Terrain
1992;http://hol.abime.net/6013;Coverdisk;English;1;1;Xmas Lemmings 1992;Psygnosis ;DMA;ECS/OCS;Puzzler - Rescue Across Terrain
1988;http://hol.abime.net/2964;Commercial;English;1;1;Centerfold Squares;Artworx;Artworx;ECS/OCS;Puzzler
1997;;Commercial;English;1;1 or 2, Simultaneous;Forgotten Mine;Ruppelware;Damir Arh;ECS/OCS;Arcade - Boulder Dash
1991;http://hol.abime.net/4745;PD/Freeware;English;2;;Mental Image Game Disk;Mental Image;;ECS/OCS;Compilation (Rebound, Invaders, The Gridrunner)
